ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002444	myeloid leukocyte mediated immunity	5/79	104/18800	7.65940039430061e-05	0.00669431594461873	0.00563570618485908	FGR/FCGR3A/CX3CR1/ITGAM/CD300A	5
GO:0045621	positive regulation of lymphocyte differentiation	5/79	107/18800	8.76784572217e-05	0.00729818777254913	0.00614408437072364	IL23R/SOX13/CD86/TOX/IL4I1	5
GO:0050863	regulation of T cell activation	8/79	342/18800	9.37713864420184e-05	0.0074505628863931	0.0062723635524374	IL23R/SOX13/TIGIT/CD86/TOX/CD300A/IL4I1/LILRB1	8
GO:0002886	regulation of myeloid leukocyte mediated immunity	4/79	59/18800	0.000110276397470779	0.00838100620777924	0.00705567064824484	FGR/CX3CR1/ITGAM/CD300A	4
GO:0032615	interleukin-12 production	4/79	63/18800	0.000142504253790203	0.00996389742501101	0.00838825039152439	IL23R/TIGIT/THBS1/LILRB1	4
GO:0032655	regulation of interleukin-12 production	4/79	63/18800	0.000142504253790203	0.00996389742501101	0.00838825039152439	IL23R/TIGIT/THBS1/LILRB1	4
GO:0032816	positive regulation of natural killer cell activation	3/79	25/18800	0.000153662631156122	0.0100647052788208	0.00847311693351285	IL23R/FCGR3A/TOX	3
GO:0031343	positive regulation of cell killing	4/79	65/18800	0.00016094529517676	0.0100647052788208	0.00847311693351285	IL23R/PRF1/CADM1/ITGAM	4
GO:0002695	negative regulation of leukocyte activation	6/79	193/18800	0.000161617076349191	0.0100647052788208	0.00847311693351285	FGR/TIGIT/CD86/CD300A/IL4I1/LILRB1	6
GO:0001819	positive regulation of cytokine production	9/79	475/18800	0.00016697737590721	0.0100647052788208	0.00847311693351285	FGR/IL23R/CD244/TIGIT/CD86/PTGER4/CADM1/THBS1/LILRB1	9
GO:0002704	negative regulation of leukocyte mediated immunity	4/79	67/18800	0.00018105208608339	0.0102840697189744	0.0086577920433134	CX3CR1/CD300A/IL4I1/LILRB1	4
GO:0050868	negative regulation of T cell activation	5/79	125/18800	0.000182383387464649	0.0102840697189744	0.0086577920433134	TIGIT/CD86/CD300A/IL4I1/LILRB1	5
GO:2000379	positive regulation of reactive oxygen species metabolic process	4/79	71/18800	0.000226613076091127	0.0123787392814778	0.0104212197491906	PDGFRB/AKR1C3/THBS1/ITGAM	4
GO:0042267	natural killer cell mediated cytotoxicity	4/79	72/18800	0.000239182094291018	0.0126694030551727	0.0106659192286712	FCGR3A/CADM1/LILRB1/KIR3DL1	4
GO:0002228	natural killer cell mediated immunity	4/79	75/18800	0.000279898250167564	0.014390062979203	0.0121144815397602	FCGR3A/CADM1/LILRB1/KIR3DL1	4
GO:0050866	negative regulation of cell activation	6/79	216/18800	0.000296760094025828	0.0148210469816328	0.0124773116224995	FGR/TIGIT/CD86/CD300A/IL4I1/LILRB1	6
GO:1903038	negative regulation of leukocyte cell-cell adhesion	5/79	144/18800	0.00035156664791982	0.0170705139045513	0.0143710577132137	TIGIT/CD86/CD300A/IL4I1/LILRB1	5
GO:0043367	CD4-positive, alpha-beta T cell differentiation	4/79	82/18800	0.000393926544742959	0.0186103675732619	0.0156674056771168	IL23R/CD86/PTGER4/TOX	4
GO:0050670	regulation of lymphocyte proliferation	6/79	230/18800	0.000414734029669673	0.0187995232620938	0.015826649115023	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0050672	negative regulation of lymphocyte proliferation	4/79	84/18800	0.000431816174884288	0.0187995232620938	0.015826649115023	CD86/CD300A/IL4I1/LILRB1	4
GO:0045580	regulation of T cell differentiation	5/79	151/18800	0.00043711278745502	0.0187995232620938	0.015826649115023	IL23R/SOX13/CD86/TOX/IL4I1	5
GO:0032944	regulation of mononuclear cell proliferation	6/79	233/18800	0.000444214673982678	0.0187995232620938	0.015826649115023	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0032945	negative regulation of mononuclear cell proliferation	4/79	85/18800	0.000451704792338638	0.0187995232620938	0.015826649115023	CD86/CD300A/IL4I1/LILRB1	4
GO:1902107	positive regulation of leukocyte differentiation	5/79	157/18800	0.000522196615625469	0.0207454473662118	0.0174648533168518	IL23R/SOX13/CD86/TOX/IL4I1	5
GO:1903708	positive regulation of hemopoiesis	5/79	157/18800	0.000522196615625469	0.0207454473662118	0.0174648533168518	IL23R/SOX13/CD86/TOX/IL4I1	5
GO:0070664	negative regulation of leukocyte proliferation	4/79	91/18800	0.000584999272914154	0.0227239717567542	0.0191305025388067	CD86/CD300A/IL4I1/LILRB1	4
GO:1903037	regulation of leukocyte cell-cell adhesion	7/79	344/18800	0.000605708288193279	0.0230169149513446	0.0193771209815607	IL23R/SOX13/TIGIT/CD86/CD300A/IL4I1/LILRB1	7
GO:0002275	myeloid cell activation involved in immune response	4/79	93/18800	0.00063503734222085	0.0236179845574903	0.0198831400767021	FGR/CX3CR1/ITGAM/CD300A	4
GO:0045582	positive regulation of T cell differentiation	4/79	94/18800	0.00066116177433185	0.0240773079485849	0.0202698280814896	IL23R/SOX13/CD86/IL4I1	4
GO:0070663	regulation of leukocyte proliferation	6/79	254/18800	0.000699212979361619	0.0249433528147778	0.0209989204113329	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0032819	positive regulation of natural killer cell proliferation	2/79	10/18800	0.000767628329226922	0.0268362863897732	0.0225925137738787	IL23R/FCGR3A	2
GO:0030217	T cell differentiation	6/79	263/18800	0.000838103769262851	0.0284063466215936	0.0239142915674984	IL23R/SOX13/CD86/PTGER4/TOX/IL4I1	6
GO:0002449	lymphocyte mediated immunity	7/79	365/18800	0.000857966475815481	0.0284063466215936	0.0239142915674984	IL23R/FCGR3A/PRF1/CADM1/IL4I1/LILRB1/KIR3DL1	7
GO:0033674	positive regulation of kinase activity	8/79	476/18800	0.00086129083005976	0.0284063466215936	0.0239142915674984	FGR/IL23R/CD86/PRRC1/PDGFRB/THBS1/CD300A/CDC25B	8
GO:0035710	CD4-positive, alpha-beta T cell activation	4/79	102/18800	0.000898285728468147	0.0284350854222659	0.0239384857402913	IL23R/CD86/PTGER4/TOX	4
GO:0046643	regulation of gamma-delta T cell activation	2/79	11/18800	0.00093565656094157	0.0284350854222659	0.0239384857402913	SOX13/LILRB1	2
GO:0051133	regulation of NK T cell activation	2/79	11/18800	0.00093565656094157	0.0284350854222659	0.0239384857402913	IL23R/CD300A	2
GO:0098883	synapse pruning	2/79	11/18800	0.00093565656094157	0.0284350854222659	0.0239384857402913	CX3CR1/ITGAM	2
GO:0051251	positive regulation of lymphocyte activation	7/79	371/18800	0.000943498257718205	0.0284350854222659	0.0239384857402913	IL23R/FCGR3A/SOX13/CD86/TOX/IL4I1/LILRB1	7
GO:0045619	regulation of lymphocyte differentiation	5/79	181/18800	0.00099201681932327	0.0291595992306226	0.0245484281129775	IL23R/SOX13/CD86/TOX/IL4I1	5
GO:0046634	regulation of alpha-beta T cell activation	4/79	105/18800	0.00100090157542183	0.0291595992306226	0.0245484281129775	IL23R/CD86/CD300A/LILRB1	4
GO:0002887	negative regulation of myeloid leukocyte mediated immunity	2/79	12/18800	0.00111973015182075	0.0315691662158495	0.0265769567444042	CX3CR1/CD300A	2
GO:0032817	regulation of natural killer cell proliferation	2/79	12/18800	0.00111973015182075	0.0315691662158495	0.0265769567444042	IL23R/FCGR3A	2
GO:0043300	regulation of leukocyte degranulation	3/79	49/18800	0.00114483480560531	0.031764622860287	0.0267415047324348	FGR/ITGAM/CD300A	3
GO:0001913	T cell mediated cytotoxicity	3/79	50/18800	0.00121424408332104	0.0325850596062968	0.0274322012101668	IL23R/PRF1/LILRB1	3
GO:1902105	regulation of leukocyte differentiation	6/79	283/18800	0.0012227289476052	0.0325850596062968	0.0274322012101668	IL23R/SOX13/CD86/TOX/IL4I1/LILRB1	6
GO:0046632	alpha-beta T cell differentiation	4/79	111/18800	0.00123040537829863	0.0325850596062968	0.0274322012101668	IL23R/CD86/PTGER4/TOX	4
GO:0002456	T cell mediated immunity	4/79	112/18800	0.00127194445017944	0.0325850596062968	0.0274322012101668	IL23R/PRF1/IL4I1/LILRB1	4
GO:0002698	negative regulation of immune effector process	4/79	112/18800	0.00127194445017944	0.0325850596062968	0.0274322012101668	CX3CR1/CD300A/IL4I1/LILRB1	4
GO:2000179	positive regulation of neural precursor cell proliferation	3/79	51/18800	0.00128625235288014	0.0325850596062968	0.0274322012101668	CX3CR1/TOX/ADGRG1	3
GO:0051132	NK T cell activation	2/79	13/18800	0.00131971472372973	0.0329551619582794	0.0277437771996114	IL23R/CD300A	2
GO:0045860	positive regulation of protein kinase activity	7/79	396/18800	0.0013749925144551	0.0338519283840495	0.0284987329163562	IL23R/CD86/PRRC1/PDGFRB/THBS1/CD300A/CDC25B	7
GO:0002286	T cell activation involved in immune response	4/79	116/18800	0.00144794189536553	0.0351528115708187	0.02959390014212	IL23R/CD86/PTGER4/LILRB1	4
GO:0022408	negative regulation of cell-cell adhesion	5/79	199/18800	0.00151068122201893	0.0353552735191541	0.029764345646018	TIGIT/CD86/CD300A/IL4I1/LILRB1	5
GO:0006968	cellular defense response	3/79	54/18800	0.00151823141886709	0.0353552735191541	0.029764345646018	GNLY/CX3CR1/PRF1	3
GO:0001787	natural killer cell proliferation	2/79	14/18800	0.00153547671972616	0.0353552735191541	0.029764345646018	IL23R/FCGR3A	2
GO:0046651	lymphocyte proliferation	6/79	296/18800	0.00153718580518061	0.0353552735191541	0.029764345646018	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0002285	lymphocyte activation involved in immune response	5/79	201/18800	0.00157864748314707	0.0358373480589751	0.0301701870326672	IL23R/CD244/CD86/PTGER4/LILRB1	5
GO:0032943	mononuclear cell proliferation	6/79	300/18800	0.00164536172256664	0.0368729780903395	0.0310420470735244	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0042976	activation of Janus kinase activity	2/79	15/18800	0.00176688339967343	0.0385990702731099	0.0324951826097842	IL23R/CD300A	2
GO:1902563	regulation of neutrophil activation	2/79	15/18800	0.00176688339967343	0.0385990702731099	0.0324951826097842	ITGAM/CD300A	2
GO:0007162	negative regulation of cell adhesion	6/79	305/18800	0.0017886296865686	0.0385990702731099	0.0324951826097842	TIGIT/CD86/THBS1/CD300A/IL4I1/LILRB1	6
GO:0001912	positive regulation of leukocyte mediated cytotoxicity	3/79	58/18800	0.0018660607578354	0.0397789537158083	0.0334884844602554	IL23R/CADM1/ITGAM	3
GO:1903131	mononuclear cell differentiation	7/79	433/18800	0.00228147488102583	0.0480484107473873	0.0404502458297287	IL23R/SOX13/CD86/PTGER4/TOX/IL4I1/LILRB1	7
GO:0032613	interleukin-10 production	3/79	63/18800	0.00236572579690561	0.048650455211659	0.040957085623208	IL23R/TIGIT/LILRB1	3
GO:0032653	regulation of interleukin-10 production	3/79	63/18800	0.00236572579690561	0.048650455211659	0.040957085623208	IL23R/TIGIT/LILRB1	3
GO:0050870	positive regulation of T cell activation	5/79	223/18800	0.00248292148600079	0.0504668227619694	0.0424862207763659	IL23R/SOX13/CD86/IL4I1/LILRB1	5
GO:0042093	T-helper cell differentiation	3/79	65/18800	0.00258657312086695	0.0519693082215566	0.0437511097758257	IL23R/CD86/PTGER4	3
GO:0070661	leukocyte proliferation	6/79	330/18800	0.00265216847254681	0.0526817101137707	0.0443508555576607	IL23R/FCGR3A/CD86/CD300A/IL4I1/LILRB1	6
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	3/79	67/18800	0.00281976183088776	0.0553378856702211	0.0465869951625733	IL23R/CD86/PTGER4	3
GO:0002287	alpha-beta T cell activation involved in immune response	3/79	68/18800	0.00294105434481952	0.0553378856702211	0.0465869951625733	IL23R/CD86/PTGER4	3
GO:0002293	alpha-beta T cell differentiation involved in immune response	3/79	68/18800	0.00294105434481952	0.0553378856702211	0.0465869951625733	IL23R/CD86/PTGER4	3
GO:0042130	negative regulation of T cell proliferation	3/79	68/18800	0.00294105434481952	0.0553378856702211	0.0465869951625733	CD86/IL4I1/LILRB1	3
GO:0002274	myeloid leukocyte activation	5/79	232/18800	0.00294417812776348	0.0553378856702211	0.0465869951625733	FGR/CX3CR1/THBS1/ITGAM/CD300A	5
GO:0032147	activation of protein kinase activity	4/79	142/18800	0.00302409084353752	0.0559936371550145	0.0471390489839277	IL23R/CD86/PRRC1/CD300A	4
GO:0022407	regulation of cell-cell adhesion	7/79	456/18800	0.00304313245407688	0.0559936371550145	0.0471390489839277	IL23R/SOX13/TIGIT/CD86/CD300A/IL4I1/LILRB1	7
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	2/79	20/18800	0.00315399778210089	0.0562570216644118	0.0473607830223098	IL23R/TOX	2
GO:0046629	gamma-delta T cell activation	2/79	20/18800	0.00315399778210089	0.0562570216644118	0.0473607830223098	SOX13/LILRB1	2
GO:0071379	cellular response to prostaglandin stimulus	2/79	20/18800	0.00315399778210089	0.0562570216644118	0.0473607830223098	PTGER4/AKR1C3	2
GO:0030336	negative regulation of cell migration	6/79	346/18800	0.00334949601655362	0.0591405963326842	0.0497883618409566	CX3CR1/RAP2B/PTGER4/THBS1/ADGRG1/CD300A	6
GO:2000377	regulation of reactive oxygen species metabolic process	4/79	147/18800	0.00342371358280012	0.0598465134273462	0.0503826483026797	PDGFRB/AKR1C3/THBS1/ITGAM	4
GO:0150146	cell junction disassembly	2/79	21/18800	0.00347653021671462	0.0601680675130412	0.050653353235717	CX3CR1/ITGAM	2
GO:1903039	positive regulation of leukocyte cell-cell adhesion	5/79	245/18800	0.00371585524536859	0.0628917316536799	0.0529463090761439	IL23R/SOX13/CD86/IL4I1/LILRB1	5
GO:0002363	alpha-beta T cell lineage commitment	2/79	22/18800	0.00381380066092109	0.0628917316536799	0.0529463090761439	IL23R/TOX	2
GO:0032516	positive regulation of phosphoprotein phosphatase activity	2/79	22/18800	0.00381380066092109	0.0628917316536799	0.0529463090761439	PDGFRB/CD300A	2
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	2/79	22/18800	0.00381380066092109	0.0628917316536799	0.0529463090761439	IL23R/TOX	2
GO:0045624	positive regulation of T-helper cell differentiation	2/79	22/18800	0.00381380066092109	0.0628917316536799	0.0529463090761439	IL23R/CD86	2
GO:0002292	T cell differentiation involved in immune response	3/79	76/18800	0.00402764035815806	0.0651881050561138	0.0548795440614519	IL23R/CD86/PTGER4	3
GO:0043299	leukocyte degranulation	3/79	76/18800	0.00402764035815806	0.0651881050561138	0.0548795440614519	FGR/ITGAM/CD300A	3
GO:2000146	negative regulation of cell motility	6/79	361/18800	0.00411989957415232	0.0652124039700752	0.0549000004517435	CX3CR1/RAP2B/PTGER4/THBS1/ADGRG1/CD300A	6
GO:0032693	negative regulation of interleukin-10 production	2/79	23/18800	0.00416568275368494	0.0652124039700752	0.0549000004517435	IL23R/LILRB1	2
GO:0072677	eosinophil migration	2/79	23/18800	0.00416568275368494	0.0652124039700752	0.0549000004517435	PTGER4/CD300A	2
GO:0032729	positive regulation of interferon-gamma production	3/79	77/18800	0.00417836913309407	0.0652124039700752	0.0549000004517435	IL23R/CD244/LILRB1	3
GO:0001818	negative regulation of cytokine production	6/79	363/18800	0.00423177019117763	0.065461365435208	0.0551095922428163	IL23R/CX3CR1/TIGIT/PTGER4/THBS1/LILRB1	6
GO:0032418	lysosome localization	3/79	79/18800	0.00449002294244092	0.068248348725102	0.0574558542199763	FGR/TMEM106B/CD300A	3
GO:1990849	vacuolar localization	3/79	79/18800	0.00449002294244092	0.068248348725102	0.0574558542199763	FGR/TMEM106B/CD300A	3
GO:2000353	positive regulation of endothelial cell apoptotic process	2/79	24/18800	0.00453205091225838	0.0682933189192039	0.0574937130248387	AKR1C3/THBS1	2
GO:0051271	negative regulation of cellular component movement	6/79	369/18800	0.00458091557843508	0.0684396618043121	0.0576169138880093	CX3CR1/RAP2B/PTGER4/THBS1/ADGRG1/CD300A	6
GO:1903706	regulation of hemopoiesis	6/79	371/18800	0.0047018981319575	0.0696518469039128	0.0586374093530471	IL23R/SOX13/CD86/TOX/IL4I1/LILRB1	6
GO:0001911	negative regulation of leukocyte mediated cytotoxicity	2/79	25/18800	0.0049127803280064	0.0709714050690511	0.059748298378016	CX3CR1/LILRB1	2
GO:0043302	positive regulation of leukocyte degranulation	2/79	25/18800	0.0049127803280064	0.0709714050690511	0.059748298378016	FGR/ITGAM	2
GO:1905523	positive regulation of macrophage migration	2/79	25/18800	0.0049127803280064	0.0709714050690511	0.059748298378016	CX3CR1/THBS1	2
GO:0030098	lymphocyte differentiation	6/79	382/18800	0.0054099456782244	0.0775129921765266	0.0652554275941131	IL23R/SOX13/CD86/PTGER4/TOX/IL4I1	6
GO:2000177	regulation of neural precursor cell proliferation	3/79	85/18800	0.00550811132229264	0.0782778747265653	0.0658993549727438	CX3CR1/TOX/ADGRG1	3
GO:0002418	immune response to tumor cell	2/79	27/18800	0.00571682754214648	0.0793096392354925	0.0667679607679264	PRF1/IL4I1	2
GO:0002710	negative regulation of T cell mediated immunity	2/79	27/18800	0.00571682754214648	0.0793096392354925	0.0667679607679264	IL4I1/LILRB1	2
GO:0036037	CD8-positive, alpha-beta T cell activation	2/79	27/18800	0.00571682754214648	0.0793096392354925	0.0667679607679264	TOX/LILRB1	2
GO:0002709	regulation of T cell mediated immunity	3/79	88/18800	0.00606491928322777	0.0819278200370013	0.0689721139417848	IL23R/IL4I1/LILRB1	3
GO:0002360	T cell lineage commitment	2/79	28/18800	0.00613989955654873	0.0819278200370013	0.0689721139417848	IL23R/TOX	2
GO:0010955	negative regulation of protein processing	2/79	28/18800	0.00613989955654873	0.0819278200370013	0.0689721139417848	TMEM59/THBS1	2
GO:0031342	negative regulation of cell killing	2/79	28/18800	0.00613989955654873	0.0819278200370013	0.0689721139417848	CX3CR1/LILRB1	2
GO:1903318	negative regulation of protein maturation	2/79	28/18800	0.00613989955654873	0.0819278200370013	0.0689721139417848	TMEM59/THBS1	2
GO:0042129	regulation of T cell proliferation	4/79	174/18800	0.00621302611774857	0.0822755276804886	0.0692648366237042	IL23R/CD86/IL4I1/LILRB1	4
GO:0002706	regulation of lymphocyte mediated immunity	4/79	175/18800	0.00633840630240362	0.0833047685458762	0.0701313178532668	IL23R/CADM1/IL4I1/LILRB1	4
GO:0040013	negative regulation of locomotion	6/79	396/18800	0.00642077736870641	0.0837576032873045	0.0705125432949848	CX3CR1/RAP2B/PTGER4/THBS1/ADGRG1/CD300A	6
GO:0050777	negative regulation of immune response	4/79	179/18800	0.00685675385769582	0.0887822647648318	0.074742626846462	FGR/CD300A/IL4I1/LILRB1	4
GO:0038094	Fc-gamma receptor signaling pathway	2/79	30/18800	0.00702753162834872	0.0903244506349526	0.0760409382076742	FGR/FCGR3A	2
GO:0048661	positive regulation of smooth muscle cell proliferation	3/79	95/18800	0.00749140151040174	0.0935411040064219	0.0787489241243995	PDGFRB/THBS1/ADAMTS1	3
GO:0002230	positive regulation of defense response to virus by host	2/79	31/18800	0.00749185043529695	0.0935411040064219	0.0787489241243995	IL23R/LILRB1	2
GO:0034694	response to prostaglandin	2/79	31/18800	0.00749185043529695	0.0935411040064219	0.0787489241243995	PTGER4/AKR1C3	2
GO:0070528	protein kinase C signaling	2/79	31/18800	0.00749185043529695	0.0935411040064219	0.0787489241243995	DGKD/ADGRG1	2
GO:0022409	positive regulation of cell-cell adhesion	5/79	291/18800	0.00761911030186378	0.0944553532458006	0.079518597999295	IL23R/SOX13/CD86/IL4I1/LILRB1	5
GO:0001516	prostaglandin biosynthetic process	2/79	32/18800	0.0079696781677703	0.0948457609144088	0.0798472683116606	PRXL2B/AKR1C3	2
GO:0043304	regulation of mast cell degranulation	2/79	32/18800	0.0079696781677703	0.0948457609144088	0.0798472683116606	FGR/CD300A	2
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	2/79	32/18800	0.0079696781677703	0.0948457609144088	0.0798472683116606	IL23R/CD86	2
GO:0046457	prostanoid biosynthetic process	2/79	32/18800	0.0079696781677703	0.0948457609144088	0.0798472683116606	PRXL2B/AKR1C3	2
GO:0071706	tumor necrosis factor superfamily cytokine production	4/79	187/18800	0.00797615952769914	0.0948457609144088	0.0798472683116606	CX3CR1/CD86/THBS1/LILRB1	4
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	4/79	187/18800	0.00797615952769914	0.0948457609144088	0.0798472683116606	CX3CR1/CD86/THBS1/LILRB1	4
GO:0006688	glycosphingolipid biosynthetic process	2/79	33/18800	0.00846089606220472	0.0992593712532474	0.0835629296712272	B3GALT2/ST8SIA6	2
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	2/79	33/18800	0.00846089606220472	0.0992593712532474	0.0835629296712272	FGR/PDGFRB	2
GO:0033006	regulation of mast cell activation involved in immune response	2/79	34/18800	0.00896538609249446	0.103784734368744	0.0873726717135396	FGR/CD300A	2
GO:0035025	positive regulation of Rho protein signal transduction	2/79	34/18800	0.00896538609249446	0.103784734368744	0.0873726717135396	PDGFRB/ADGRG1	2
GO:0010922	positive regulation of phosphatase activity	2/79	36/18800	0.0100137141196932	0.113662157670284	0.0956881226201713	PDGFRB/CD300A	2
GO:0043368	positive T cell selection	2/79	36/18800	0.0100137141196932	0.113662157670284	0.0956881226201713	IL23R/TOX	2
GO:0045066	regulatory T cell differentiation	2/79	36/18800	0.0100137141196932	0.113662157670284	0.0956881226201713	TOX/IL4I1	2
GO:0042116	macrophage activation	3/79	106/18800	0.0101038432445056	0.113945277363844	0.0959264710072591	CX3CR1/THBS1/ITGAM	3
GO:0007229	integrin-mediated signaling pathway	3/79	107/18800	0.010364327402485	0.116133617304768	0.097768756468786	FGR/ITGAM/ADAMTS1	3
GO:0090218	positive regulation of lipid kinase activity	2/79	37/18800	0.0105573197160283	0.117542642443424	0.098954964552515	FGR/PDGFRB	2
GO:0042098	T cell proliferation	4/79	204/18800	0.0107392283618158	0.118811209977557	0.100022926381202	IL23R/CD86/IL4I1/LILRB1	4
GO:0045622	regulation of T-helper cell differentiation	2/79	38/18800	0.0111137326392244	0.121246992596439	0.10207352502097	IL23R/CD86	2
GO:1904037	positive regulation of epithelial cell apoptotic process	2/79	38/18800	0.0111137326392244	0.121246992596439	0.10207352502097	AKR1C3/THBS1	2
GO:0045785	positive regulation of cell adhesion	6/79	446/18800	0.0111674861601984	0.121246992596439	0.10207352502097	IL23R/SOX13/CD86/ADGRG1/IL4I1/LILRB1	6
GO:0030100	regulation of endocytosis	4/79	208/18800	0.0114686873279494	0.123748552155899	0.104179498924453	DGKD/PPP3CC/CD300A/LILRB1	4
GO:0071634	regulation of transforming growth factor beta production	2/79	39/18800	0.0116828384912728	0.124521961480152	0.104830604690625	THBS1/LILRB1	2
GO:2000516	positive regulation of CD4-positive, alpha-beta T cell activation	2/79	39/18800	0.0116828384912728	0.124521961480152	0.104830604690625	IL23R/CD86	2
GO:0001914	regulation of T cell mediated cytotoxicity	2/79	40/18800	0.0122645235880823	0.129146911035951	0.108724185010394	IL23R/LILRB1	2
GO:0010863	positive regulation of phospholipase C activity	2/79	40/18800	0.0122645235880823	0.129146911035951	0.108724185010394	CD86/PDGFRB	2
GO:0002768	immune response-regulating cell surface receptor signaling pathway	5/79	328/18800	0.0123506815334347	0.129275397128407	0.108832352875775	FGR/THEMIS2/FCGR3A/CD300A/LILRB1	5
GO:0042119	neutrophil activation	2/79	41/18800	0.0128586749556233	0.132231096685436	0.111320651069638	ITGAM/CD300A	2
GO:1905521	regulation of macrophage migration	2/79	41/18800	0.0128586749556233	0.132231096685436	0.111320651069638	CX3CR1/THBS1	2
GO:0032496	response to lipopolysaccharide	5/79	333/18800	0.0131145265220599	0.132231096685436	0.111320651069638	IL23R/CX3CR1/CD86/PTGER4/LILRB1	5
